Provinsi,Tanggal,Curah_Hujan_mm
Sumatera Selatan,2023-01-06,6.339595286721536
Kepulauan Riau,2023-01-06,2.4089547428568068
Riau,2023-01-06,3.961856642838373
Sulawesi Barat,2023-01-06,2.0445768047214194
Sulawesi Selatan,2023-01-06,3.93708698898796
Aceh,2023-01-06,13.540818632500716
Bali,2023-01-06,0.5084004255803906
DI Yogyakarta,2023-01-06,3.3687972912930384
DKI Jakarta,2023-01-06,0.0
Jambi,2023-01-06,11.660395499988494
Jawa Tengah,2023-01-06,14.801834715638416
Jawa Timur,2023-01-06,3.746157204621586
Kalimantan Barat,2023-01-06,3.114133536894859
Kalimantan Selatan,2023-01-06,8.217256145483962
Kalimantan Tengah,2023-01-06,10.0559384229417
Kalimantan Timur,2023-01-06,7.515691876315278
Lampung,2023-01-06,7.270702941135847
Nusa Tenggara Barat,2023-01-06,0.0236998400414615
Nusa Tenggara Timur,2023-01-06,2.4438432342832304
Sulawesi Tengah,2023-01-06,5.80643360827088
Sulawesi Tenggara,2023-01-06,3.8096034312900047
Sumatera Barat,2023-01-06,8.353133555086085
Sumatera Utara,2023-01-06,12.410433352931314
Maluku,2023-01-07,15.227570411073112
Maluku Utara,2023-01-07,10.27344356707618
Kepulauan Bangka Belitung,2023-01-07,21.443104166815907
Banten,2023-01-07,7.312225023090222
Gorontalo,2023-01-07,6.304895830564417
Papua Barat,2023-01-07,6.111369866859552
Jawa Barat,2023-01-07,8.941576239303156
Papua,2023-01-07,3.766490833440505
Sulawesi Utara,2023-01-07,14.743822397747516
Sumatera Selatan,2023-01-07,11.598191747001891
Kepulauan Riau,2023-01-07,8.946941582134237
Riau,2023-01-07,8.205838166381595
Sulawesi Barat,2023-01-07,9.567125813030191
Sulawesi Selatan,2023-01-07,11.202629340655417
Aceh,2023-01-07,7.739643932838183
Bali,2023-01-07,0.0
DI Yogyakarta,2023-01-07,15.30966236011497
DKI Jakarta,2023-01-07,3.151876839685068
Jambi,2023-01-07,17.90461568287931
Jawa Tengah,2023-01-07,15.677575163353652
Jawa Timur,2023-01-07,4.64664578255608
Kalimantan Barat,2023-01-07,11.652135387089178
Kalimantan Selatan,2023-01-07,18.046685354730187
Kalimantan Tengah,2023-01-07,10.954943335130226
Kalimantan Timur,2023-01-07,15.830211290327048
Lampung,2023-01-07,12.869003585320552
Nusa Tenggara Barat,2023-01-07,0.4934383479632196
Nusa Tenggara Timur,2023-01-07,0.8566918776704383
Sulawesi Tengah,2023-01-07,6.467712935560581
Sulawesi Tenggara,2023-01-07,6.5573337962559215
Sumatera Barat,2023-01-07,14.501103109209106
Sumatera Utara,2023-01-07,11.145099704410782
Maluku,2023-01-08,11.468670442501022
Maluku Utara,2023-01-08,8.947294066501643
Kepulauan Bangka Belitung,2023-01-08,17.39423814900135
Banten,2023-01-08,6.4147638194263
Gorontalo,2023-01-08,13.318123689225263
Papua Barat,2023-01-08,16.45157050156648
Jawa Barat,2023-01-08,6.917879822460115
Papua,2023-01-08,15.312308896463596
Sulawesi Utara,2023-01-08,3.734996975888184
Sumatera Selatan,2023-01-08,15.484493285428172
Kepulauan Riau,2023-01-08,3.3215460756282917
Riau,2023-01-08,7.487826175241763
Sulawesi Barat,2023-01-08,20.64590520612371
Sulawesi Selatan,2023-01-08,15.091492150384129
Aceh,2023-01-08,12.656458247824112
Bali,2023-01-08,0.0
