Provinsi,Tahun_Raw,LuasPanen,Tahun
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2022,1490.0,2022
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2022,42.0,2022
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,54.0,2022
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2022,34.0,2022
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,590.0,2022
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2022,13075.0,2022
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2022,737.0,2022
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2022,123.0,2022
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2022,740.0,2022
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2022,14033.0,2022
Sumatera Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2022,180.0,2022
Sumatera Utara,Luas Panen Bawang Merah (hektar) (Ha) 2022,4249.0,2022
Aceh,Luas Panen Bawang Merah (hektar) (Ha) 2021,1190.46,2021
Bali,Luas Panen Bawang Merah (hektar) (Ha) 2021,1381.65,2021
Banten,Luas Panen Bawang Merah (hektar) (Ha) 2021,357.36,2021
DI Yogyakarta,Luas Panen Bawang Merah (hektar) (Ha) 2021,3020.39,2021
DKI Jakarta,Luas Panen Bawang Merah (hektar) (Ha) 2021,1.06,2021
Gorontalo,Luas Panen Bawang Merah (hektar) (Ha) 2021,73.0,2021
Jambi,Luas Panen Bawang Merah (hektar) (Ha) 2021,1784.61,2021
Jawa Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,15876.7,2021
Jawa Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2021,55978.59,2021
Jawa Timur,Luas Panen Bawang Merah (hektar) (Ha) 2021,53671.44,2021
Kalimantan Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,54.48,2021
Kalimantan Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2021,72.85,2021
Kalimantan Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2021,23.55,2021
Kalimantan Timur,Luas Panen Bawang Merah (hektar) (Ha) 2021,32.09,2021
Kalimantan Utara,Luas Panen Bawang Merah (hektar) (Ha) 2021,28.2,2021
Kepulauan Bangka Belitung,Luas Panen Bawang Merah (hektar) (Ha) 2021,24.9,2021
Kepulauan Riau,Luas Panen Bawang Merah (hektar) (Ha) 2021,11.69,2021
Lampung,Luas Panen Bawang Merah (hektar) (Ha) 2021,227.9,2021
Maluku,Luas Panen Bawang Merah (hektar) (Ha) 2021,223.55,2021
Maluku Utara,Luas Panen Bawang Merah (hektar) (Ha) 2021,207.5,2021
Nusa Tenggara Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,20314.09,2021
Nusa Tenggara Timur,Luas Panen Bawang Merah (hektar) (Ha) 2021,1594.15,2021
Papua,Luas Panen Bawang Merah (hektar) (Ha) 2021,56.07,2021
Papua Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,45.96,2021
Riau,Luas Panen Bawang Merah (hektar) (Ha) 2021,67.15,2021
Sulawesi Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,485.41,2021
Sulawesi Selatan,Luas Panen Bawang Merah (hektar) (Ha) 2021,17339.85,2021
Sulawesi Tengah,Luas Panen Bawang Merah (hektar) (Ha) 2021,873.04,2021
Sulawesi Tenggara,Luas Panen Bawang Merah (hektar) (Ha) 2021,265.59,2021
Sulawesi Utara,Luas Panen Bawang Merah (hektar) (Ha) 2021,676.2,2021
Sumatera Barat,Luas Panen Bawang Merah (hektar) (Ha) 2021,13871.89,2021
