Tanggal,Provinsi,Harga,delta_1h,pct_change_1h,z_score_30h,median_nasional_hari_itu,selisih_nasional,skor_anomali
2024-09-11,Lampung,22500.0,350.0,1.5801354401805856,1.374597155175212,0.0,1.5801354401805856,0.42576668629375586
2024-09-12,Lampung,22500.0,0.0,0.0,1.374597155175212,0.0,0.0,0.342993329550384
2024-09-13,Lampung,22750.0,250.0,1.1111111111111072,1.5838208020105249,0.0,1.1111111111111072,0.413962246165833
2024-09-16,Lampung,22750.0,0.0,0.0,1.5578049893822148,0.0,0.0,0.34802292783202676
2024-09-17,Lampung,22500.0,-250.0,-1.098901098901095,1.274901946163022,0.0,-1.098901098901095,0.41474983866721005
2024-09-18,Lampung,23500.0,1000.0,4.444444444444451,1.9770206895822744,0.0,4.444444444444451,0.5236690619310894
2024-09-19,Lampung,23750.0,250.0,1.0638297872340496,1.9740608192827462,0.0,1.0638297872340496,0.4242320049206475
2024-09-20,Lampung,23250.0,-500.0,-2.1052631578947323,1.4779443163271733,0.0,-2.1052631578947323,0.4762714330797427
2024-09-23,Lampung,23000.0,-250.0,-1.0752688172043001,1.2132747678546612,0.0,-1.0752688172043001,0.4100422195484759
2024-09-24,Lampung,23250.0,250.0,1.0869565217391353,1.3057581678941035,0.0,1.0869565217391353,0.4077123276736765
2024-09-25,Lampung,23750.0,500.0,2.1505376344086002,1.5327029901050737,0.0,2.1505376344086002,0.44772970560549263
2024-09-26,Lampung,24150.0,400.0,1.6842105263157992,1.6497580743865443,0.0,1.6842105263157992,0.4329604420283079
2024-09-27,Lampung,24150.0,0.0,0.0,1.5194254987176279,0.0,0.0,0.34683149784428585
2024-09-30,Lampung,24000.0,-150.0,-0.6211180124223614,1.3259304407613723,0.0,-0.6211180124223614,0.3878069829260661
2024-10-01,Lampung,24500.0,500.0,2.083333333333326,1.5321044184863564,0.0,2.083333333333326,0.44501774884065565
2024-10-02,Lampung,24500.0,0.0,0.0,1.4606414495772824,0.0,0.0,0.3447969892847947
2024-10-03,Lampung,24750.0,250.0,1.0204081632652962,1.5296854268204048,0.0,1.0204081632652962,0.4109074849230317
2024-10-04,Lampung,24900.0,150.0,0.60606060606061,1.5605945721441457,0.0,0.60606060606061,0.3962346254448985
2024-10-07,Lampung,25900.0,1000.0,4.016064257028118,2.0607558596252646,0.2721088435374108,3.743955413490707,0.505991319347973
2024-10-08,Lampung,25900.0,0.0,0.0,1.9173173380306119,0.0,0.0,0.36379976045404006
2024-10-09,Lampung,26250.0,350.0,1.3513513513513598,1.9394151372834172,0.0,1.3513513513513598,0.42784045910785795
2024-10-10,Lampung,26250.0,0.0,0.0,1.799961868545551,0.0,0.0,0.35710466984084566
2024-10-11,Lampung,26500.0,250.0,0.952380952380949,1.8125899820565243,0.0,0.952380952380949,0.4161119202902443
2024-10-14,Lampung,26000.0,-500.0,-1.8867924528301883,1.416521473546762,0.0,-1.8867924528301883,0.46583356677750876
2024-10-15,Lampung,26000.0,0.0,0.0,1.3379194188275532,0.0,0.0,0.3418303723901015
2024-10-16,Lampung,25000.0,-1000.0,-3.8461538461538436,0.6656595211088973,0.0,-3.8461538461538436,0.5296915142879358
2024-10-17,Lampung,25150.0,150.0,0.6000000000000005,0.7221125347197593,0.0,0.6000000000000005,0.3907559622762118
2024-10-18,Lampung,25150.0,0.0,0.0,0.6703433306638134,0.0,0.0,0.3372533378717916
2024-10-21,Lampung,24400.0,-750.0,-2.982107355864816,0.07335941837867486,0.0,-2.982107355864816,0.48160946909625413
2024-10-22,Lampung,24150.0,-250.0,-1.0245901639344246,-0.1754289103269018,0.0,-1.0245901639344246,0.3975493266548228
2024-10-23,Lampung,25150.0,1000.0,4.140786749482395,0.5714469306079603,0.0,4.140786749482395,0.5223394907640397
2024-10-24,Lampung,25750.0,600.0,2.385685884691857,1.007992110899109,0.0,2.385685884691857,0.4527956934644685
2024-10-25,Lampung,25750.0,0.0,0.0,0.9493072062377148,0.0,0.0,0.3371766103791091
2024-10-28,Lampung,26150.0,400.0,1.553398058252431,1.2311868204972045,1.6000000000000014,-0.046601941747570486,0.42556175432327137
2024-10-29,Lampung,26650.0,500.0,1.9120458891013437,1.607993388421062,0.1506024096385561,1.7614434794627876,0.43825576206508865
2024-10-30,Lampung,26250.0,-400.0,-1.5009380863039379,1.159928789075789,0.0,-1.5009380863039379,0.43465002985468587
2024-10-31,Lampung,27650.0,1400.0,5.333333333333323,2.1922183011828724,0.0,5.333333333333323,0.5476622525514465
2024-11-01,Lampung,28250.0,600.0,2.169981916817365,2.409219812019715,0.2869440459110528,1.8830378709063122,0.4669197168347515
2024-11-04,Lampung,34150.0,5900.0,20.884955752212385,4.310359079751523,5.230769230769239,15.654186521443146,0.7764187659906256
2024-11-05,Lampung,34150.0,0.0,0.0,3.310827716484915,0.5952380952380931,-0.5952380952380931,0.4648915336045276
2024-11-06,Lampung,34250.0,100.0,0.2928257686676483,2.7760354669512415,0.0,0.2928257686676483,0.43806655439690223
2024-11-07,Lampung,34250.0,0.0,0.0,2.3963362900814773,0.0,0.0,0.38839743443221286
2024-11-08,Lampung,35750.0,1500.0,4.379562043795615,2.4646439239809723,0.0,4.379562043795615,0.5362497155905214
2024-11-11,Lampung,35000.0,-750.0,-2.0979020979020935,2.0133117111635936,2.152080344332852,-4.249982442234945,0.5471017792689693
2024-11-12,Lampung,35750.0,750.0,2.1428571428571352,1.982619410555016,0.0,2.1428571428571352,0.46107822866745013
2024-11-13,Lampung,35000.0,-750.0,-2.0979020979020935,1.6430513874855825,0.13422818791946067,-2.232130285821554,0.4902053501792055
2024-11-14,Lampung,35150.0,150.0,0.4285714285714226,1.545397538598679,0.0,0.4285714285714226,0.3882274532378596
2024-11-15,Lampung,35150.0,0.0,0.0,1.429722495826204,0.0,0.0,0.34253778079454966
2024-11-18,Lampung,35750.0,600.0,1.7069701280227667,1.4471596645482228,0.49999999999998934,1.2069701280227774,0.42555042522572334
2024-11-19,Lampung,35750.0,0.0,0.0,1.342509474297642,0.0,0.0,0.3418303723901015
2024-11-20,Lampung,36000.0,250.0,0.6993006993007089,1.2977030302073693,0.0,0.6993006993007089,0.3948664576267823
2024-11-21,Lampung,35650.0,-350.0,-0.9722222222222188,1.1419850689194615,0.0,-0.9722222222222188,0.4075143823451321
2024-11-22,Lampung,35500.0,-150.0,-0.42075736325385416,1.038600540495514,0.0,-0.42075736325385416,0.377251075592597
2024-11-25,Lampung,36400.0,900.0,2.5352112676056304,1.1438872197434986,0.0,2.5352112676056304,0.45946636987863665
2024-11-26,Lampung,36500.0,100.0,0.27472527472527375,1.0885203937381964,0.0,0.27472527472527375,0.37424675122026413
2024-11-27,Lampung,36500.0,0.0,0.0,1.020719096682225,0.0,0.0,0.3372600825457982
2024-11-28,Lampung,36400.0,-100.0,-0.2739726027397249,0.9378236122157994,0.0,-0.2739726027397249,0.3668890430735422
