Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Bali,Jawa Timur,3,0.08411162667119691,dengan_kontrol,574,distribusi,0.12146083273819049,False
Bali,Jawa Timur,7,0.07203203616902717,dengan_kontrol,574,distribusi,0.10515625718106156,False
Bali,Jawa Timur,14,0.2792796826767549,dengan_kontrol,574,distribusi,0.34008997328776175,False
DI Yogyakarta,Jawa Timur,1,0.20216117126824742,dengan_kontrol,574,distribusi,0.2545857053113234,False
DI Yogyakarta,Jawa Timur,3,0.007302409234521405,dengan_kontrol,574,distribusi,0.014318449479453736,True
DI Yogyakarta,Jawa Timur,7,0.1976273196517561,dengan_kontrol,574,distribusi,0.2501611641161469,False
DI Yogyakarta,Jawa Timur,14,0.0569493752699869,dengan_kontrol,574,distribusi,0.08661501942203331,False
Jawa Tengah,Jawa Timur,1,1.154654959228458e-06,dengan_kontrol,574,distribusi,5.921307483222862e-06,True
Jawa Tengah,Jawa Timur,3,2.4532765205163404e-10,dengan_kontrol,574,distribusi,3.634483734098282e-09,True
Jawa Tengah,Jawa Timur,7,4.6448655244100994e-10,dengan_kontrol,574,distribusi,6.193154032546799e-09,True
Jawa Tengah,Jawa Timur,14,1.685007537058545e-09,dengan_kontrol,574,distribusi,1.872230596731717e-08,True
Maluku Utara,Jawa Timur,1,0.6845910739080121,dengan_kontrol,574,distribusi,0.7168492920502745,False
Maluku Utara,Jawa Timur,3,0.7745980527543923,dengan_kontrol,574,distribusi,0.7965018537320229,False
Maluku Utara,Jawa Timur,7,0.45265996124332186,dengan_kontrol,574,distribusi,0.5158518076846973,False
Maluku Utara,Jawa Timur,14,0.001541289750942822,dengan_kontrol,574,distribusi,0.0036480230791546085,True
Nusa Tenggara Barat,Jawa Timur,1,0.01313729965343031,dengan_kontrol,574,distribusi,0.023564663055480377,True
Nusa Tenggara Barat,Jawa Timur,3,0.0012770786991955865,dengan_kontrol,574,distribusi,0.003077298070350811,True
Nusa Tenggara Barat,Jawa Timur,7,0.006559995101467401,dengan_kontrol,574,distribusi,0.013054716619835626,True
Nusa Tenggara Barat,Jawa Timur,14,0.010118438178798012,dengan_kontrol,574,distribusi,0.019001761838118334,True
Sulawesi Selatan,Jawa Timur,1,0.06721920357122965,dengan_kontrol,574,distribusi,0.09958400529071058,False
Sulawesi Selatan,Jawa Timur,3,0.0031081953819433613,dengan_kontrol,574,distribusi,0.006756946482485568,True
Sulawesi Selatan,Jawa Timur,7,0.042393239845126426,dengan_kontrol,574,distribusi,0.06522036899250219,False
Sulawesi Selatan,Jawa Timur,14,0.10535097683646877,dengan_kontrol,574,distribusi,0.14481233929411513,False
