Provinsi_Asal,Provinsi_Tujuan,lag_hari,p_value_raw,kontrol,n_observasi,jenis_pasangan,p_value_terkoreksi,signifikan
Jawa Barat,Jawa Tengah,14,7.060864700844566e-24,tanpa_kontrol,574,distribusi,2.5675871639434786e-22,True
DI Yogyakarta,Jawa Tengah,1,0.9283345608431381,tanpa_kontrol,574,distribusi,0.950336359249149,False
DI Yogyakarta,Jawa Tengah,3,0.0069566178689640466,tanpa_kontrol,574,distribusi,0.012591163563735831,True
DI Yogyakarta,Jawa Tengah,7,0.01731855511596899,tanpa_kontrol,574,distribusi,0.028744489819035667,True
DI Yogyakarta,Jawa Tengah,14,0.05457870462343,tanpa_kontrol,574,distribusi,0.0752809718943862,False
Jawa Timur,Jawa Tengah,1,0.023291431325418444,tanpa_kontrol,574,distribusi,0.03682439735244023,True
Jawa Timur,Jawa Tengah,3,0.006940336131173501,tanpa_kontrol,574,distribusi,0.012591163563735831,True
Jawa Timur,Jawa Tengah,7,0.0007801761988751287,tanpa_kontrol,574,distribusi,0.001975129617405389,True
Jawa Timur,Jawa Tengah,14,0.0007182221644402333,tanpa_kontrol,574,distribusi,0.0018655121154291772,True
Nusa Tenggara Barat,Jawa Tengah,1,0.043635929658624874,tanpa_kontrol,574,distribusi,0.06233704236946411,False
Nusa Tenggara Barat,Jawa Tengah,3,0.2678700168633758,tanpa_kontrol,574,distribusi,0.31700593711642105,False
Nusa Tenggara Barat,Jawa Tengah,7,0.02730920200017898,tanpa_kontrol,574,distribusi,0.042014156923352274,True
Nusa Tenggara Barat,Jawa Tengah,14,0.07918279155842185,tanpa_kontrol,574,distribusi,0.10453173803091995,False
Jawa Tengah,DI Yogyakarta,1,1.84115908249381e-15,tanpa_kontrol,574,distribusi,3.68231816498762e-14,True
Jawa Tengah,DI Yogyakarta,3,1.581178681586139e-14,tanpa_kontrol,574,distribusi,2.635297802643565e-13,True
Jawa Tengah,DI Yogyakarta,7,1.8903167678072022e-12,tanpa_kontrol,574,distribusi,2.2912930518875176e-11,True
Jawa Tengah,DI Yogyakarta,14,2.3245882665931122e-14,tanpa_kontrol,574,distribusi,3.7193412265489795e-13,True
Jawa Timur,DI Yogyakarta,1,1.535576588312373e-11,tanpa_kontrol,574,distribusi,1.6163964087498663e-10,True
Jawa Timur,DI Yogyakarta,3,3.916385374577191e-10,tanpa_kontrol,574,distribusi,3.46810694003796e-09,True
Jawa Timur,DI Yogyakarta,7,1.180940310774034e-08,tanpa_kontrol,574,distribusi,8.28730042648445e-08,True
Jawa Timur,DI Yogyakarta,14,5.904966351168595e-11,tanpa_kontrol,574,distribusi,5.904966351168595e-10,True
Nusa Tenggara Barat,DI Yogyakarta,1,0.005668455474840286,tanpa_kontrol,574,distribusi,0.010545963674121464,True
Nusa Tenggara Barat,DI Yogyakarta,3,0.016589504764620313,tanpa_kontrol,574,distribusi,0.02788152061280725,True
Nusa Tenggara Barat,DI Yogyakarta,7,0.003317200024532878,tanpa_kontrol,574,distribusi,0.006634400049065756,True
Nusa Tenggara Barat,DI Yogyakarta,14,0.005722292319909627,tanpa_kontrol,574,distribusi,0.010596837629462272,True
